seqnames	start	end	width	strand	refGenome	reads	patient	GTSP	cellType	timePoint	timePointDays	timePointMonths	posid	estAbund	relAbund	inFeature	nearestFeature	nearestFeatureStrand	inFeatureExon	inFeatureSameOrt	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist	nearestOncoFeatureStrand	nearestlymphomaFeature	nearestlymphomaFeatureDist	nearestlymphomaFeatureStrand
chr16	58550203	58550203	1	-	hg38	4	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr16-58550203	1	1.2345679012345678	TRUE	CNOT1	-	FALSE	TRUE	-0	CFAP20	-420777	-	None.found	Inf	None.found
chr16	11145335	11145335	1	+	hg38	9	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr16+11145335	1	1.2345679012345678	TRUE	CLEC16A	+	FALSE	TRUE	-0	SOCS1	109080	-	None.found	Inf	None.found
chr17	19944332	19944332	1	-	hg38	39	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr17-19944332	1	1.2345679012345678	TRUE	AKAP10	-	FALSE	TRUE	0	SPECC1	-65002	+	None.found	Inf	None.found
chr17	37276486	37276486	1	-	hg38	41	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr17-37276486	1	1.2345679012345678	TRUE	ACACA	-	FALSE	TRUE	0	AATF	219614	+	None.found	Inf	None.found
chr17	75396560	75396560	1	-	hg38	230	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr17-75396560	1	1.2345679012345678	TRUE	GRB2	-	FALSE	TRUE	0	GRB2	0	-	None.found	Inf	None.found
chr17	75952127	75952127	1	+	hg38	24	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr17+75952127	1	1.2345679012345678	TRUE	ACOX1	-	FALSE	FALSE	-0	RNF157	190324	-	None.found	Inf	None.found
chr17	81403625	81403625	1	+	hg38	127	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr17+81403625	1	1.2345679012345678	TRUE	BAHCC1	+	FALSE	TRUE	0	MAFG	514642	-	None.found	Inf	None.found
chr19	10642940	10642940	1	-	hg38	9	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr19-10642940	1	1.2345679012345678	TRUE	SLC44A2	+	FALSE	FALSE	-0	CDKN2D	-73960	-	LYL1	2456086	-
chr19	53151208	53151208	1	-	hg38	31	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr19-53151208	1	1.2345679012345678	TRUE	ZNF347	-	FALSE	TRUE	0	ZNF331	-369713	+	JUND	-34869551	-
chr2	177438376	177438376	1	-	hg38	3	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr2-177438376	1	1.2345679012345678	TRUE	AGPS	+	FALSE	FALSE	0	NFE2L2	-173244	-	BCL11A	-116884877	-
chr2	44330796	44330796	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr2-44330796	1	1.2345679012345678	TRUE	PREPL	-	FALSE	TRUE	-0	THADA	-734749	-	BCL11A	16120369	-
chr2	143297953	143297953	1	+	hg38	159	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr2+143297953	1	1.2345679012345678	TRUE	ARHGAP15	+	FALSE	TRUE	0	ZEB2	1086420	-	BCL11A	-82744454	-
chr2	154029346	154029346	1	+	hg38	24	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr2+154029346	1	1.2345679012345678	TRUE	GALNT13	+	FALSE	TRUE	0	GALNT5	-3228250	+	BCL11A	-93475847	-
chr2	174452372	174452372	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr2+174452372	1	1.2345679012345678	TRUE	GPR155	-	FALSE	FALSE	-0	CHN1	346940	-	BCL11A	-113898873	-
chr2	175105209	175105209	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr2+175105209	1	1.2345679012345678	TRUE	ATF2	-	FALSE	FALSE	-0	ATF2	-0	-	BCL11A	-114551710	-
chr2	82662884	82662884	1	+	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr2+82662884	1	1.2345679012345678	FALSE	DHFRP3	+	FALSE	TRUE	-193917	TMSB10	-2242753	+	BCL11A	-22109385	-
chr20	17678862	17678862	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr20-17678862	1	1.2345679012345678	TRUE	RRBP1	-	FALSE	TRUE	0	SNX5	262732	-	None.found	Inf	None.found
chr20	25737594	25737594	1	-	hg38	40	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr20-25737594	1	1.2345679012345678	FALSE	LOC105372582	+	FALSE	FALSE	-13612	NKX2-2	-4223567	-	None.found	Inf	None.found
chr20	58905580	58905580	1	-	hg38	29	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr20-58905580	1	1.2345679012345678	TRUE	GNAS	+	FALSE	FALSE	-0	GNAS	-0	+	None.found	Inf	None.found
chr20	59849358	59849358	1	-	hg38	53	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr20-59849358	1	1.2345679012345678	FALSE	PHACTR3	+	FALSE	FALSE	1646	NELFCD	854224	+	None.found	Inf	None.found
chr20	44562789	44562789	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr20+44562789	1	1.2345679012345678	TRUE	PKIG	+	FALSE	TRUE	0	PKIG	0	+	None.found	Inf	None.found
chr22	31853139	31853139	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr22+31853139	1	1.2345679012345678	TRUE	DEPDC5	+	FALSE	TRUE	-0	PATZ1	-506875	-	BCR	8535101	+
chr3	101706514	101706514	1	-	hg38	4	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3-101706514	1	1.2345679012345678	FALSE	PDCL3P4	+	FALSE	FALSE	-5918	TFG	957546	+	None.found	Inf	None.found
chr3	105841901	105841901	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3-105841901	1	1.2345679012345678	TRUE	CBLB	-	FALSE	TRUE	0	CBLB	0	-	None.found	Inf	None.found
chr3	189995	189995	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3-189995	1	1.2345679012345678	FALSE	CHL1-AS2	-	FALSE	TRUE	5761	CHL1	-6599	+	None.found	Inf	None.found
chr3	197836244	197836244	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3-197836244	1	1.2345679012345678	TRUE	LRCH3	+	FALSE	FALSE	-0	DLG1	-536971	-	None.found	Inf	None.found
chr3	34496237	34496237	1	-	hg38	96	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3-34496237	1	1.2345679012345678	FALSE	LOC101928135	-	FALSE	TRUE	379556	GLB1	-1399006	-	None.found	Inf	None.found
chr3	52663482	52663482	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3-52663482	1	1.2345679012345678	TRUE	PBRM1	-	FALSE	TRUE	0	PBRM1	0	-	None.found	Inf	None.found
chr3	187007493	187007493	1	+	hg38	235	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3+187007493	1	1.2345679012345678	TRUE	ST6GAL1	+	FALSE	TRUE	-0	ST6GAL1	-0	+	None.found	Inf	None.found
chr3	193290142	193290142	1	+	hg38	26	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3+193290142	1	1.2345679012345678	TRUE	ATP13A5	-	FALSE	FALSE	-0	FGF12	-562542	-	None.found	Inf	None.found
chr3	4313234	4313234	1	+	hg38	5	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr3+4313234	1	1.2345679012345678	TRUE	SETMAR	+	TRUE	TRUE	-0	CNTN4	1255272	+	None.found	Inf	None.found
chr4	2578072	2578072	1	-	hg38	41	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr4-2578072	1	1.2345679012345678	FALSE	FAM193A	+	FALSE	FALSE	-47358	SH3BP2	-214949	+	RAP1GDS1	-95683302	+
chr4	183674761	183674761	1	+	hg38	4	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr4+183674761	1	1.2345679012345678	TRUE	TRAPPC11	+	TRUE	TRUE	0	ING2	162332	+	RAP1GDS1	85230899	+
chr5	157211397	157211397	1	-	hg38	5	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr5-157211397	1	1.2345679012345678	TRUE	ITK	+	FALSE	FALSE	0	ITK	0	+	TLX3	-14097885	+
chr5	138887835	138887835	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr5+138887835	1	1.2345679012345678	TRUE	CTNNA1	+	FALSE	TRUE	-0	CTNNA1	-0	+	TLX3	-32421447	+
chr5	164223923	164223923	1	+	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr5+164223923	1	1.2345679012345678	FALSE	LINC02143	-	FALSE	FALSE	224497	CCNG1	778906	+	TLX3	-7085359	+
chr5	32260793	32260793	1	+	hg38	100	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr5+32260793	1	1.2345679012345678	TRUE	MTMR12	-	FALSE	FALSE	-0	PRLR	2787961	-	TLX3	-139048489	+
chr5	620069	620069	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr5+620069	1	1.2345679012345678	TRUE	CEP72	+	TRUE	TRUE	0	PDCD6	305094	+	TLX3	-170689213	+
chr6	101527603	101527603	1	-	hg38	3	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr6-101527603	1	1.2345679012345678	TRUE	GRIK2	+	FALSE	FALSE	0	CCNC	-1958788	-	NKAIN2	-22276241	+
chr6	90391844	90391844	1	-	hg38	13	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr6-90391844	1	1.2345679012345678	FALSE	MIR4464	+	FALSE	FALSE	79010	BACH2	-94935	-	NKAIN2	-33412e3	+
chr6	44407211	44407211	1	+	hg38	3	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr6+44407211	1	1.2345679012345678	TRUE	CDC5L	+	FALSE	TRUE	0	NFKBIE	-141422	-	BRD2	11425705	+
chr7	72757048	72757048	1	-	hg38	11	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr7-72757048	1	1.2345679012345678	TRUE	TYW1B	-	FALSE	TRUE	0	BCL7B	779303	-	None.found	Inf	None.found
chr7	99523145	99523145	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr7-99523145	1	1.2345679012345678	TRUE	ZKSCAN5	+	FALSE	FALSE	-0	EPO	-1197653	+	None.found	Inf	None.found
chr8	135613053	135613053	1	-	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr8-135613053	1	1.2345679012345678	TRUE	KHDRBS3	+	FALSE	FALSE	-0	NDRG1	-2315748	-	MYC	7870101	+
chr8	52671948	52671948	1	-	hg38	259	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr8-52671948	1	1.2345679012345678	TRUE	RB1CC1	-	FALSE	TRUE	0	RB1CC1	0	-	MYC	-75063484	+
chr8	67056564	67056564	1	-	hg38	4	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr8-67056564	1	1.2345679012345678	TRUE	COPS5	-	TRUE	TRUE	0	MYBL1	-443314	-	MYC	-60678868	+
chr8	9146905	9146905	1	-	hg38	75	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr8-9146905	1	1.2345679012345678	TRUE	PPP1R3B	-	FALSE	TRUE	0	MFHAS1	-253283	-	MYC	-118588527	+
chr8	113738682	113738682	1	+	hg38	3	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr8+113738682	1	1.2345679012345678	FALSE	CSMD3	-	FALSE	FALSE	-301668	CSMD3	-301668	-	MYC	-13996750	+
chr8	144403335	144403335	1	+	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr8+144403335	1	1.2345679012345678	TRUE	CPSF1	-	FALSE	FALSE	0	RECQL4	107947	-	MYC	16660383	+
chr8	30074457	30074457	1	+	hg38	6	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr8+30074457	1	1.2345679012345678	TRUE	SARAF	-	FALSE	FALSE	0	WRN	-958803	+	MYC	-97660975	+
chr9	122987707	122987707	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr9-122987707	1	1.2345679012345678	TRUE	RABGAP1	+	FALSE	FALSE	0	CRB2	-368458	+	ABL1	-7726172	+
chr9	123538157	123538157	1	-	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr9-123538157	1	1.2345679012345678	TRUE	DENND1A	-	FALSE	TRUE	-0	CRB2	157821	+	ABL1	-7175722	+
chr9	124625970	124625970	1	-	hg38	3	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr9-124625970	1	1.2345679012345678	TRUE	NR6A1	-	FALSE	TRUE	-0	HSPA5	608876	-	ABL1	-6087909	+
chr9	20864210	20864210	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr9+20864210	1	1.2345679012345678	TRUE	FOCAD	+	FALSE	TRUE	-0	MLLT3	-241666	-	JAK2	15736026	+
chr9	95927641	95927641	1	+	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr9+95927641	1	1.2345679012345678	TRUE	ERCC6L2	+	FALSE	TRUE	0	PTCH1	-410583	-	TAL2	-9734814	+
chrX	155538793	155538793	1	-	hg38	32	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chrX-155538793	1	1.2345679012345678	TRUE	TMLHE	-	FALSE	TRUE	-0	CMC4,MTCP1	-467520	-,-	MTCP1	-467520	-
chrX	136919048	136919048	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chrX+136919048	1	1.2345679012345678	FALSE	RBMX	-	FALSE	FALSE	-38267	FGF13	1712523	-	MTCP1	18144984	-
chrX	139905076	139905076	1	+	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chrX+139905076	1	1.2345679012345678	TRUE	ATP11C	-	FALSE	FALSE	0	MCF2	-196853	-	MTCP1	15158956	-
chr1	155730284	155730284	1	-	hg38	193	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1-155730284	1	0.591715976331361	TRUE	DAP3	+	FALSE	FALSE	-0	ARHGEF2	216553	-	PBX1	-8829074	+
chr1	183800339	183800339	1	-	hg38	221	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1-183800339	1	0.591715976331361	TRUE	RGL1	+	FALSE	FALSE	-0	RGL1	-0	+	PBX1	18914291	+
chr1	32127409	32127409	1	-	hg38	2	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1-32127409	1	0.591715976331361	TRUE	KPNA6	+	FALSE	FALSE	0	EIF3I	-94173	+	LCK	-123828	+
chr1	51760326	51760326	1	-	hg38	9	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1-51760326	1	0.591715976331361	TRUE	OSBPL9	+	FALSE	FALSE	-0	EPS15	-241002	-	STIL	-4446178	-
chr1	52506536	52506536	1	-	hg38	3	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1-52506536	1	0.591715976331361	TRUE	ZCCHC11	-	FALSE	TRUE	0	EPS15	-987212	-	STIL	-5192388	-
chr1	101082875	101082875	1	+	hg38	5	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+101082875	1	0.591715976331361	TRUE	LOC102606465	+	FALSE	TRUE	-0	COL11A1	1793590	-	STIL	-53768727	-
chr1	107973705	107973705	1	+	hg38	2	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+107973705	1	0.591715976331361	TRUE	VAV3-AS1	+	FALSE	TRUE	0	VAV3	-8781	-	PBX1	-56585653	+
chr1	11156177	11156177	1	+	hg38	224	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+11156177	2	1.183431952662722	TRUE	MTOR	-	FALSE	FALSE	-0	MTOR	-0	-	LCK	-21095060	+
chr1	155380272	155380272	1	+	hg38	1	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+155380272	1	0.591715976331361	TRUE	ASH1L	-	FALSE	FALSE	-0	THBS3	-172290	-	PBX1	-9179086	+
chr1	155810970	155810970	1	+	hg38	64	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+155810970	1	0.591715976331361	TRUE	GON4L	-	FALSE	FALSE	0	ARHGEF2	135867	-	PBX1	-8748388	+
chr1	225922515	225922515	1	+	hg38	2	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+225922515	1	0.591715976331361	TRUE	PYCR2	-	FALSE	FALSE	0	SDE2	60185	-	PBX1	61036467	+
chr1	25448521	25448521	1	+	hg38	342	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+25448521	1	0.591715976331361	TRUE	MACO1	+	FALSE	TRUE	0	RSRP1	-110266	-	LCK	-6802716	+
chr1	63407850	63407850	1	+	hg38	269	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr1+63407850	1	0.591715976331361	TRUE	ALG6	+	FALSE	TRUE	-0	PATJ	1243929	+	STIL	-16093702	-
chr10	115165197	115165197	1	-	hg38	519	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10-115165197	1	0.591715976331361	TRUE	ATRNL1	+	FALSE	FALSE	0	TCF7L2	1997518	+	NFKB2	12762667	+
chr10	12683127	12683127	1	-	hg38	10	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10-12683127	1	0.591715976331361	TRUE	CAMK1D	+	FALSE	FALSE	-0	CUBN	4140837	-	MLLT10	-8850220	+
chr10	32492783	32492783	1	-	hg38	1	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10-32492783	1	0.591715976331361	TRUE	CCDC7	+	FALSE	FALSE	0	MAP3K8	2030949	+	BMI1	10161297	+
chr10	86685746	86685746	1	-	hg38	1	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10-86685746	1	0.591715976331361	TRUE	LDB3	+	FALSE	FALSE	0	BMPR1A	-70891	+	TLX1	-14445556	+
chr10	96686488	96686488	1	-	hg38	8	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10-96686488	1	0.591715976331361	TRUE	PIK3AP1	-	FALSE	TRUE	0	FRAT1	-632775	+	TLX1	-4444814	+
chr10	102317641	102317641	1	+	hg38	2	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10+102317641	1	0.591715976331361	TRUE	GBF1	+	FALSE	TRUE	-0	NFKB2	-76467	+	NFKB2	-76467	+
chr10	32233435	32233435	1	+	hg38	1	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10+32233435	1	0.591715976331361	FALSE	EPC1	-	FALSE	FALSE	34279	MAP3K8	1771601	+	BMI1	9901949	+
chr10	4080770	4080770	1	+	hg38	46	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr10+4080770	1	0.591715976331361	TRUE	LOC101927964	+	FALSE	TRUE	-0	KLF6	-295488	-	KLF6	-295488	-
chr11	107327534	107327534	1	-	hg38	340	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11-107327534	1	0.591715976331361	TRUE	CWF19L2	-	FALSE	TRUE	-0	GUCY1A2	-309088	-	PICALM	-21257652	-
chr11	32249056	32249056	1	-	hg38	2	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11-32249056	1	0.591715976331361	FALSE	SNORA88	-	FALSE	TRUE	-105143	WT1	138717	-	LMO2	1609518	-
chr11	72305391	72305391	1	-	hg38	1	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11-72305391	1	0.591715976331361	TRUE	CLPB	-	FALSE	TRUE	-0	INPPL1	66243	+	CCND1	2650916	+
chr11	73004287	73004287	1	-	hg38	48	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11-73004287	1	0.591715976331361	TRUE	FCHSD2	-	FALSE	TRUE	0	PLEKHB1	-641889	+	CCND1	3349812	+
chr11	78103490	78103490	1	-	hg38	372	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11-78103490	1	0.591715976331361	TRUE	ALG8	-	FALSE	TRUE	-0	THRSP	35132	+	PICALM	7853679	-
chr11	118235835	118235835	1	+	hg38	3	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11+118235835	1	0.591715976331361	TRUE	MPZL3	-	FALSE	FALSE	-0	TMPRSS4	115991	+	PICALM	-32165953	-
chr11	118787023	118787023	1	+	hg38	9	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11+118787023	1	0.591715976331361	TRUE	DDX6	-	FALSE	FALSE	0	DDX6	0	-	PICALM	-32717141	-
chr11	66274917	66274917	1	+	hg38	8	GSK123_.25nM	GTSP5061	JLTRG-R5	H48	48	48	chr11+66274917	1	0.591715976331361	TRUE	RAB1B	+	FALSE	TRUE	-0	CD248	39568	-	CCND1	-3366186	+
